Geocode,business_id,name,address,city,state,postal_code,latitude,longitude,Score,Income
6037123204,PR0000572,BASKIN ROBBINS,6700 LAUREL CANYON BLVD ,NORTH HOLLYWOOD,CA,91606,34.19231964,-118.3963143,98,46932
6037267901,PR0003203,AMC CENTURY CITY 15 LEVEL 3,10250 SANTA MONICA BLVD # 2000,LOS ANGELES,CA,90067,34.06003591,-118.4198835,99,246237
6037190802,PR0003940,ARCLIGHT HOLLYWOOD,6360 W SUNSET BLVD ,LOS ANGELES,CA,90028,34.09774,-118.32782,98,46965
6037920312,PR0004579,BASKIN ROBBINS #3075,23432 LYONS AVE ,NEWHALL,CA,91321,34.3794861,-118.543167,96,117619
6037302301,PR0005248,BARNES & NOBLE #2303,210 AMERICANA WAY ,GLENDALE,CA,91210,34.14348546,-118.2566482,94,96588
6037215101,PR0005573,STARBUCKS INSIDE RALPH'S #289,5601 WILSHIRE BLVD ,LOS ANGELES,CA,90036,34.06252206,-118.3506072,99,86259
6037123700,PR0005730,CENTURY THEATER,12827 VICTORY BLVD ,NORTH HOLLYWOOD,CA,91606,34.18683849,-118.4126878,99,75344
6037702803,PR0006796,INDIGO HOUSE,12512 W WASHINGTON BLVD ,LOS ANGELES,CA,90066,33.99653173,-118.4305747,100,92070
6037139303,PR0007829,BASKIN ROBBINS 31 FLAVORS,6040 RESEDA BLVD ,TARZANA,CA,91356,34.17973705,-118.5358113,95,68970
6037900701,PR0008684,BASKIN ROBBINS,44150 W 10TH ST W ,LANCASTER,CA,93534,34.68550493,-118.1475258,97,43825
6037264302,PR0009293,CAFFE LUXXE,225 26TH ST # #53,SANTA MONICA,CA,90402,34.04744232,-118.4908004,97,155199
6037265202,PR0009376,REGENCY VILLAGE THEATRE,961 BROXTON AVE ,LOS ANGELES,CA,90024,34.06298268,-118.4472057,92,113944
6037137502,PR0009419,THE COFFEE BEAN & TEA LEAF,21851 VENTURA BLVD ,WOODLAND HILLS,CA,91364,34.16859375,-118.6034629,96,127938
6037137104,PR0009423,THE COFFEE BEAN & TEA LEAF,5780 CANOGA AVE STE F,WOODLAND HILLS,CA,91367,34.17500997,-118.5972185,92,127666
6037212502,PR0010740,"COFFEE, BEAN & TEA LEAF#16",670 S WESTERN AVE ,LOS ANGELES,CA,90010,34.06026542,-118.3089087,99,60166
6037900705,PR0011153,LANCASTER CITY PARK,43011 W 10TH ST W ,LANCASTER,CA,93534,34.6636334,-118.1479823,93,55890
6037910403,PR0011412,AMERICAN LEGION PALM POST348,38030 E 6TH ST E ,PALMDALE,CA,93550,34.57356527,-118.1170045,99,23178
6037430721,PR0011677,PINCICAREA BAR1 2&3,285 W HUNTINGTON DR ,ARCADIA,CA,91007,34.13971315,-118.0453042,100,94212
6037536104,PR0011965,IXTAPA BAR,10308 ATLANTIC AVE ,SOUTH GATE,CA,90280,33.93738225,-118.1816658,95,73178
6037650701,PR0012204,STARBUCKS COFFEE #6802,4437 SEPULVEDA BLVD STE A,TORRANCE,CA,90505,33.82656224,-118.3593711,98,120927
6037910602,PR0012883,PALMDALE PONY YOUTH BASEBALL,38310 E 20TH ST E ,PALMDALE,CA,93550,34.5783786,-118.0940386,91,41431
6037701801,PR0013316,MW THEATRE CONCESSION STAND,2627 PICO BLVD ,SANTA MONICA,CA,90405,34.02382179,-118.4619903,98,78565
6037500300,PR0013432,ARENA BEERS BOOTH #4,11003 ROOKS RD ,PICO RIVERA,CA,90660,34.0255814,-118.0459556,97,139171
6037543321,PR0014069,STUB HUB CENTER EL MERCADO #15,18400 AVALON BLVD STE 300,CARSON,CA,90746-2182,33.86601413,-118.2647396,99,95295
